clean_image,distorted_image,method,psnr
4564823,4564820,new,42.253693
4564823,4564821,ref,35.41529
4564827,4564824,new,50.55305
4564827,4564825,ref,37.27433
4564907,4564904,new,40.346878
4564907,4564905,ref,37.31403
4564911,4564908,new,46.50466
4564911,4564909,ref,37.91168
4564927,4564924,new,46.12823
4564927,4564925,ref,38.147846
4564931,4564928,new,43.09517
4564931,4564929,ref,38.38492
4564951,4564948,new,39.892258
4564951,4564949,ref,45.124126
4564955,4564952,new,38.045155
4564955,4564953,ref,43.990826
4564991,4564988,new,37.88526
4564991,4564989,ref,45.84552
4564999,4564996,new,48.99267
4564999,4564997,ref,36.240814
4565051,4565048,new,36.99778
4565051,4565049,ref,37.19863
4565115,4565112,new,40.843884
4565115,4565113,ref,37.175335
4565159,4565156,new,43.13508
4565159,4565157,ref,40.360764
4565167,4565164,new,37.30654
4565167,4565165,ref,41.107937
4565183,4565180,new,35.46163
4565183,4565181,ref,38.696682
4565227,4565224,new,40.675503
4565227,4565225,ref,47.101326
4565259,4565256,new,45.875557
